Name	trailheadapp__API_Name__c	trailheadapp__Created_At__c	trailheadapp__Description__c	trailheadapp__External_Id__c	trailheadapp__Icon__c	trailheadapp__Level__c	trailheadapp__Namespace__c	trailheadapp__Products__c	trailheadapp__Roles__c	trailheadapp__Tags__c	trailheadapp__Type__c	trailheadapp__URL__c
Trailhead for Companies	trailhead-for-companies	2019-05-21T00:00:00.000Z	Use Trailhead to develop a culture of learning at your company.	m-11996	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/trailhead-for-companies/d7c0b6848dd4134082dd16ea27b0eb65_badge.png	Beginner	learn	Salesforce Platform	Business User, Admin	General	Module	https://developer.salesforce.com/trailhead/module/trailhead-for-companies/
Accessibility Basics	accessibility-basics	2019-05-25T00:00:00.000Z	Learn why it’s important to make technology accessible to everyone.	m-12432	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/accessibility-basics/9cb082ff8941482adea328d195ad6ca0_badge.png	Beginner	learn	General	Admin, Developer	General	Module	https://developer.salesforce.com/trailhead/module/accessibility-basics/
Coding for Web Accessibility	coding-for-web-accessibility	2019-05-25T00:00:00.000Z	Write code to build accessible user interfaces.	m-12433	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/coding-for-web-accessibility/622e77c417fa92394d74c65e5a710302_badge.png	Beginner	learn	Lightning	Developer	General	Module	https://developer.salesforce.com/trailhead/module/coding-for-web-accessibility/
Customer Data Management for Modern Marketers	customer-data-management-modern-marketers	2019-05-25T00:00:00.000Z	Create personalized, engaging customer experiences with platform-focused marketing.	m-12434	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/customer-data-management-modern-marketers/ac02d3557f55753cb813022db2025e0e_badge.png	Beginner	learn	Marketing Cloud	Business User	Data Management, Database	Module	https://developer.salesforce.com/trailhead/module/customer-data-management-modern-marketers/
Lightning Experience for Salesforce Mobile App	lightning-experience-for-salesforce-mobile-app	2019-05-25T00:00:00.000Z	Learn how the power of Lightning will transform the Salesforce Mobile App.	m-12435	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/lightning-experience-for-salesforce-mobile-app/a2aff8faddd27213a895de76200dfa73_badge.png	Beginner	learn	Lightning	Business User, Admin	Mobile	Module	https://developer.salesforce.com/trailhead/module/lightning-experience-for-salesforce-mobile-app/
Marketing Cloud Programmatic Languages	marketing-cloud-programmatic-languages	2019-05-25T00:00:00.000Z	Get to know the programmatic languages for Marketing Cloud.	m-12436	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/marketing-cloud-programmatic-languages/4b346f85ebc2efbae161763bd41e2fcd_badge.png	Beginner	learn	Marketing Cloud	Developer	General	Module	https://developer.salesforce.com/trailhead/module/marketing-cloud-programmatic-languages/
Modern Mobile Development for iOS	modern-mobile-development-ios	2019-05-25T00:00:00.000Z	Explore indispensable tools for iOS mobile development.	m-12437	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/modern-mobile-development-ios/be6f4d3485c3f480cee5458b6dc2772c_badge.png	Beginner	learn	Salesforce Platform	Developer	Partner, Mobile	Module	https://developer.salesforce.com/trailhead/module/modern-mobile-development-ios/
Object-Oriented Programming for Admins	object-oriented-programming-for-admins	2019-05-25T00:00:00.000Z	Enhance your Salesforce data with Apex classes, objects, DML, sets, and loops.	m-12438	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/object-oriented-programming-for-admins/31b659f52b2d563a1083542d1d70607b_badge.png	Intermediate	learn	Salesforce Platform	Admin	Apex	Module	https://developer.salesforce.com/trailhead/module/object-oriented-programming-for-admins/
Partner Selection for Implementation	partner-selection-for-implementation	2019-05-25T00:00:00.000Z	Work with your Salesforce AE to find the right partner.	m-12439	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/partner-selection-for-implementation/86fa63018ee756634e2429aae838abeb_badge.png	Beginner	learn	General	Business User	Partner	Module	https://developer.salesforce.com/trailhead/module/partner-selection-for-implementation/
Quick Start: Create and Send an Email with Marketing Cloud	quick-start-create-and-send-an-email-with-marketing-cloud	2019-05-25T00:00:00.000Z	Build and test your marketing email.	m-12440	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/quick-start-create-and-send-an-email-with-marketing-cloud/fff81fcdb5e6fed2b8eba539733d177b_badge.png	Beginner	learn	Marketing Cloud	Business User, Admin	General	Module	https://developer.salesforce.com/trailhead/module/quick-start-create-and-send-an-email-with-marketing-cloud/
Project Risk Management for Partners	project-risk-management-for-partners	2019-05-25T00:00:00.000Z	Use Salesforce-tested risk management strategies, processes, and tools to succeed.	m-12441	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/project-risk-management-for-partners/62b2e208d446418ece8b7558f6e48c75_badge.png	Beginner	learn	General	Business User	Partner	Module	https://developer.salesforce.com/trailhead/module/project-risk-management-for-partners/
Responsible Creation of Artificial Intelligence	responsible-creation-of-artificial-intelligence	2019-05-25T00:00:00.000Z	Remove bias from your data and algorithms to create ethical AI systems at your company.	m-12442	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/responsible-creation-of-artificial-intelligence/b35540651291b6a5adb9f4c00477116a_badge.png	Beginner	learn	Einstein	Admin, Developer	General	Module	https://developer.salesforce.com/trailhead/module/responsible-creation-of-artificial-intelligence/
Salesforce Customer Service Strategies	salesforce-customer-service-strategies	2019-05-25T00:00:00.000Z	Learn how Salesforce uses Service Cloud to deliver great customer service.	m-12443	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/salesforce-customer-service-strategies/28b1ef147375f9e10c1c8f994b880ba5_badge.png	Beginner	learn	Service Cloud	Business User	General	Module	https://developer.salesforce.com/trailhead/module/salesforce-customer-service-strategies/
Testing for Web Accessibility	testing-for-web-accessibility	2019-05-25T00:00:00.000Z	Ensure your code is accessible with automated and manual tests.	m-12444	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/testing-for-web-accessibility/6f551729f080a73e9f20f7134b7d0901_badge.png	Beginner	learn	Salesforce Platform, Lightning	Developer	App Lifecycle	Module	https://developer.salesforce.com/trailhead/module/testing-for-web-accessibility/
